Time of Scrape,Player Name,Team,Position,Game Start Date/Time,Opponent,Strikeout Predictions
2023-06-22 00:45:57,Bryce Elder,ATL,P,"Jun 22 12:05 PM, 2023",PHI,5.0
2023-06-22 00:45:57,Aaron Nola,PHI,P,"Jun 22 12:05 PM, 2023",ATL,6.5
2023-06-22 00:45:57,Tommy Henry,ARI,P,"Jun 22 12:05 PM, 2023",WSH,3.5
2023-06-22 00:45:57,Jake Irvin,WSH,P,"Jun 22 12:05 PM, 2023",ARI,4.0
2023-06-22 00:45:58,Blake Snell,SD,P,"Jun 22 2:45 PM, 2023",SF,6.5
2023-06-22 00:45:58,Alex Wood,SF,P,"Jun 22 2:45 PM, 2023",SD,5.0
2023-06-22 00:45:58,Mitch Keller,PIT,P,"Jun 22 5:40 PM, 2023",MIA,6.0
2023-06-22 00:45:58,Braxton Garrett,MIA,P,"Jun 22 5:40 PM, 2023",PIT,5.5
2023-06-22 00:45:58,Bryan Woo,SEA,P,"Jun 22 6:05 PM, 2023",NYY,5.5
2023-06-22 00:45:58,Domingo Germ�n,NYY,P,"Jun 22 6:05 PM, 2023",SEA,6.0
2023-06-22 01:44:28,Bryce Elder,ATL,P,"Jun 22 12:05 PM, 2023",PHI,5.0
2023-06-22 01:44:28,Aaron Nola,PHI,P,"Jun 22 12:05 PM, 2023",ATL,6.5
2023-06-22 01:44:28,Tommy Henry,ARI,P,"Jun 22 12:05 PM, 2023",WSH,3.5
2023-06-22 01:44:28,Jake Irvin,WSH,P,"Jun 22 12:05 PM, 2023",ARI,4.0
2023-06-22 01:44:28,JP Sears,OAK,P,"Jun 22 12:10 PM, 2023",CLE,4.0
2023-06-22 01:44:28,Logan Allen,CLE,P,"Jun 22 12:10 PM, 2023",OAK,5.5
2023-06-22 01:44:28,Blake Snell,SD,P,"Jun 22 2:45 PM, 2023",SF,7.0
2023-06-22 01:44:28,Alex Wood,SF,P,"Jun 22 2:45 PM, 2023",SD,5.0
2023-06-22 01:44:29,Mitch Keller,PIT,P,"Jun 22 5:40 PM, 2023",MIA,6.0
2023-06-22 01:44:29,Braxton Garrett,MIA,P,"Jun 22 5:40 PM, 2023",PIT,5.5
2023-06-22 01:44:29,Bryan Woo,SEA,P,"Jun 22 6:05 PM, 2023",NYY,5.5
2023-06-22 01:44:29,Domingo Germán,NYY,P,"Jun 22 6:05 PM, 2023",SEA,6.0
2023-06-22 01:47:08,Bryce Elder,ATL,P,"Jun 22 12:05 PM, 2023",PHI,5.0
2023-06-22 01:47:08,Aaron Nola,PHI,P,"Jun 22 12:05 PM, 2023",ATL,6.5
2023-06-22 01:47:08,Tommy Henry,ARI,P,"Jun 22 12:05 PM, 2023",WSH,3.5
2023-06-22 01:47:09,Jake Irvin,WSH,P,"Jun 22 12:05 PM, 2023",ARI,4.0
2023-06-22 01:47:09,JP Sears,OAK,P,"Jun 22 12:10 PM, 2023",CLE,4.0
2023-06-22 01:47:09,Logan Allen,CLE,P,"Jun 22 12:10 PM, 2023",OAK,5.5
2023-06-22 01:47:09,Blake Snell,SD,P,"Jun 22 2:45 PM, 2023",SF,7.0
2023-06-22 01:47:09,Alex Wood,SF,P,"Jun 22 2:45 PM, 2023",SD,5.0
2023-06-22 01:47:09,Mitch Keller,PIT,P,"Jun 22 5:40 PM, 2023",MIA,6.0
2023-06-22 01:47:09,Braxton Garrett,MIA,P,"Jun 22 5:40 PM, 2023",PIT,5.5
2023-06-22 01:47:10,Bryan Woo,SEA,P,"Jun 22 6:05 PM, 2023",NYY,5.5
2023-06-22 01:47:10,Domingo Germán,NYY,P,"Jun 22 6:05 PM, 2023",SEA,6.0
2023-06-22 05:33:20,Bryce Elder,ATL,P,"Jun 22 12:05 PM, 2023",PHI,5.0
2023-06-22 05:33:20,Aaron Nola,PHI,P,"Jun 22 12:05 PM, 2023",ATL,6.5
2023-06-22 05:33:20,Tommy Henry,ARI,P,"Jun 22 12:05 PM, 2023",WSH,4.0
2023-06-22 05:33:21,Jake Irvin,WSH,P,"Jun 22 12:05 PM, 2023",ARI,4.0
2023-06-22 05:33:21,JP Sears,OAK,P,"Jun 22 12:10 PM, 2023",CLE,4.0
2023-06-22 05:33:21,Logan Allen,CLE,P,"Jun 22 12:10 PM, 2023",OAK,5.5
2023-06-22 05:33:21,Blake Snell,SD,P,"Jun 22 2:45 PM, 2023",SF,7.0
2023-06-22 05:33:21,Alex Wood,SF,P,"Jun 22 2:45 PM, 2023",SD,4.5
2023-06-22 05:33:21,Shane McClanahan,TB,P,"Jun 22 5:40 PM, 2023",KC,7.0
2023-06-22 05:33:21,Mitch Keller,PIT,P,"Jun 22 5:40 PM, 2023",MIA,6.0
2023-06-22 05:33:22,Braxton Garrett,MIA,P,"Jun 22 5:40 PM, 2023",PIT,5.5
2023-06-22 05:33:22,Bryan Woo,SEA,P,"Jun 22 6:05 PM, 2023",NYY,5.5
2023-06-22 05:33:22,Domingo Germán,NYY,P,"Jun 22 6:05 PM, 2023",SEA,6.0
2023-06-22 15:01:16,Shane McClanahan,TB,P,"Jun 22 5:40 PM, 2023",KC,7.0
2023-06-22 15:01:16,Mitch Keller,PIT,P,"Jun 22 5:40 PM, 2023",MIA,6.0
2023-06-22 15:01:17,Braxton Garrett,MIA,P,"Jun 22 5:40 PM, 2023",PIT,5.5
2023-06-22 15:01:17,Bryan Woo,SEA,P,"Jun 22 6:05 PM, 2023",NYY,6.0
2023-06-22 15:01:17,Domingo Germán,NYY,P,"Jun 22 6:05 PM, 2023",SEA,5.5
2023-06-22 16:47:04,Shane McClanahan,TB,P,KC,7.0
2023-06-22 16:47:04,Mitch Keller,PIT,P,MIA,6.0
2023-06-22 16:47:04,Braxton Garrett,MIA,P,PIT,6.0
2023-06-22 16:47:04,Bryan Woo,SEA,P,NYY,6.0
2023-06-22 16:47:05,Domingo Germán,NYY,P,SEA,5.5
2023-06-22 16:51:08,Shane McClanahan,TB,P,KC,7.0
2023-06-22 16:51:08,Mitch Keller,PIT,P,MIA,6.0
2023-06-22 16:51:09,Braxton Garrett,MIA,P,PIT,6.0
2023-06-22 16:51:09,Bryan Woo,SEA,P,NYY,6.0
2023-06-22 16:51:09,Domingo Germán,NYY,P,SEA,5.5
2023-06-22 16:52:20,Shane McClanahan,TB,P,KC,7.0
2023-06-22 16:52:20,Mitch Keller,PIT,P,MIA,6.0
2023-06-22 16:52:20,Braxton Garrett,MIA,P,PIT,6.0
2023-06-22 16:52:20,Bryan Woo,SEA,P,NYY,6.0
2023-06-22 16:52:20,Domingo Germán,NYY,P,SEA,5.5
